2 43
39.987500 39.987500 -0.996200
40.062500 40.062500 -0.237800
40.125000 40.125000 -8.458000
40.187500 40.187500 -1.175000
40.312500 40.312500 -0.720200
40.375000 40.375000 -0.368900
40.487500 40.487500 0.014710
40.550000 40.550000 -7.376000
40.737500 40.737500 -0.982900
40.800000 40.800000 -6.124000
40.862500 40.862500 -4.089000
40.962500 40.962500 -4.644000
41.012500 41.012500 -7.739000
41.187500 41.187500 -1.347000
41.237500 41.237500 -5.502000
41.387500 41.387500 -0.039390
41.437500 41.437500 -1.068000
41.500000 41.500000 -6.142000
41.612500 41.612500 -2.225000
41.675000 41.675000 -6.316000
41.787500 41.787500 0.176900
41.850000 41.850000 -2.982000
42.050000 42.050000 -0.931100
42.100000 42.100000 -6.278000
42.225000 42.225000 -3.753000
42.275000 42.275000 -6.288000
42.337500 42.337500 -4.566000
42.487500 42.487500 -4.076000
42.537500 42.537500 -6.471000
42.700000 42.700000 -3.575000
42.750000 42.750000 -5.373000
42.937500 42.937500 -1.985000
43.000000 43.000000 -0.279000
43.100000 43.100000 -0.821600
43.150000 43.150000 -9.091000
43.212500 43.212500 -2.109000
43.312500 43.312500 -2.620000
43.362500 43.362500 -9.496000
43.550000 43.550000 -2.548000
43.600000 43.600000 -3.917000
43.750000 43.750000 -0.781500
43.800000 43.800000 -7.913000
43.862500 43.862500 -0.494300
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
